City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
161,zbarazh,49.6636,25.7762,2.89,44,100,7.26,UA,1680103687
162,shirokiy,49.758,129.523,1.79,45,6,3.11,RU,1680103688
163,vista hermosa,19.5167,-99.2167,16.95,71,0,2.06,MX,1680103443
164,grindavik,63.8424,-22.4338,6.26,75,75,9.77,IS,1680103689
165,porto novo,6.4965,2.6036,31.9,55,67,5.31,BJ,1680103689
166,atuona,-9.8,-139.0333,26.92,78,60,6.93,PF,1680103690
167,azare,11.6765,10.1948,36.49,6,100,4.33,NG,1680103690
168,maragogi,-9.0122,-35.2225,28.38,71,53,5.32,BR,1680103691
169,cairns,-16.9167,145.7667,23.97,96,26,0.51,AU,1680103692
170,maceio,-9.6658,-35.7353,29.69,74,75,6.17,BR,1680103679
171,mao,39.8885,4.2658,16.31,72,0,4.12,ES,1680103174
172,maniitsoq,65.4167,-52.9,-7.52,54,28,0.99,GL,1680103693
173,ostrovnoy,68.0531,39.5131,-3.98,81,100,9.65,RU,1680103693
174,solnechnyy,50.7214,136.6319,2.79,74,100,5.11,RU,1680103694
175,faanui,-16.4833,-151.75,27.77,75,78,4.92,PF,1680103694
176,russell,32.3502,-85.1999,15.54,47,0,3.09,US,1680103695
177,acajutla,13.5928,-89.8275,30.26,52,10,1.11,SV,1680103695
178,alexandria,31.2156,29.9553,15.34,51,3,9.23,EG,1680103449
179,chongwe,-15.3292,28.682,23.11,68,91,1.7,ZM,1680103696
180,iguape,-24.7081,-47.5553,27.61,68,31,1.71,BR,1680103636
181,kindu,-2.95,25.95,29.33,63,87,0.33,CD,1680103697
182,tahta,26.7693,31.5021,27.81,19,0,9.89,EG,1680103698
183,kavaratti,10.5669,72.642,27.75,69,61,3.72,IN,1680103699
184,port lincoln,-34.7333,135.8667,15.28,78,17,1.69,AU,1680103700
185,mabaruma,8.2,-59.7833,28.0,78,40,5.14,GY,1680103701
186,rolla,37.9514,-91.7713,9.56,60,0,3.6,US,1680103468
187,torbay,47.6666,-52.7314,2.38,87,100,7.2,CA,1680103661
188,te anau,-45.4167,167.7167,1.48,95,39,0.75,NZ,1680103703
189,ayan,56.45,138.1667,-5.8,94,100,4.93,RU,1680103704
190,denpasar,-8.65,115.2167,27.81,88,20,1.54,ID,1680103463
191,reconquista,-29.15,-59.65,31.97,45,72,3.85,AR,1680103705
192,nortelandia,-14.4547,-56.8028,30.85,59,97,2.86,BR,1680103705
193,mitu,1.1983,-70.1733,30.75,57,100,0.63,CO,1680103706
194,shache,38.4167,77.2406,18.68,12,59,3.7,CN,1680103706
195,hasaki,35.7333,140.8333,12.38,76,100,4.19,JP,1680103707
196,jamame,0.0722,42.7506,28.57,66,7,5.97,SO,1680103707
197,goderich,43.7501,-81.7165,4.95,70,100,9.26,CA,1680103709
198,seoul,37.5683,126.9778,6.66,75,0,0.51,KR,1680103693
199,naranjal,-2.6667,-79.6167,27.49,83,100,0.96,EC,1680103710
200,college,64.8569,-147.8028,-9.12,80,75,4.12,US,1680103639
201,laguna,38.421,-121.4238,8.32,87,100,6.17,US,1680103713
202,harper,4.375,-7.7169,29.71,68,29,4.64,LR,1680103717
203,kristiansund,63.1115,7.732,3.03,38,0,5.66,NO,1680103718
204,olafsvik,64.8945,-23.7142,-0.04,94,100,8.15,IS,1680103722
205,surovikino,48.6078,42.8486,12.74,69,99,2.8,RU,1680103723
206,isiro,2.7739,27.616,26.74,60,100,1.38,CD,1680103724
207,urumqi,43.801,87.6005,11.53,38,0,1.0,CN,1680103725
208,tres arroyos,-38.3739,-60.2798,16.67,36,2,7.13,AR,1680103706
209,mahebourg,-20.4081,57.7,27.16,78,75,4.12,MU,1680103730
210,kaitangata,-46.2817,169.8464,5.93,76,43,3.04,NZ,1680103728
211,radford,37.1318,-80.5764,10.36,55,0,2.57,US,1680103527
212,grand gaube,-20.0064,57.6608,27.22,74,73,1.34,MU,1680103733
213,severo-yeniseyskiy,60.3725,93.0408,-0.3,97,100,6.27,RU,1680103733
214,alugan,12.2188,125.4808,26.51,84,100,3.01,PH,1680103734
215,rawson,-43.3002,-65.1023,12.54,21,2,8.93,AR,1680103344
216,lekoni,-1.5843,14.2591,24.51,76,100,3.5,GA,1680103705
217,abu samrah,35.3029,37.1841,11.95,64,82,11.95,SY,1680103735
218,airai,-8.9266,125.4092,14.85,91,100,0.89,TL,1680103673
219,micheweni,-4.9667,39.8333,28.36,74,76,3.41,TZ,1680103736
220,brahasesti,46.0333,27.3667,4.27,38,100,5.54,RO,1680103736
221,tuatapere,-46.1333,167.6833,2.41,89,60,2.1,NZ,1680103737
222,ola,59.5833,151.2833,-14.97,98,92,2.55,RU,1680103738
223,hoquiam,46.9809,-123.8893,6.11,89,100,2.06,US,1680103739
224,ponta do sol,32.6667,-17.1,24.35,45,18,0.39,PT,1680103550
225,ribeira grande,38.5167,-28.7,17.22,77,40,9.83,PT,1680103740
226,vila velha,-20.3297,-40.2925,29.97,66,75,4.12,BR,1680103652
227,tahe,52.3333,124.7333,-4.06,62,31,6.91,CN,1680103741
228,touros,-5.1989,-35.4608,30.28,61,34,5.15,BR,1680103750
229,bonavista,48.6499,-53.1147,-0.99,95,99,8.11,CA,1680103752
230,cockburn town,21.4612,-71.1419,24.97,75,82,6.85,TC,1680103754
231,bandar,2.05,99.75,23.29,95,15,1.31,ID,1680103761
232,morros,-9.4467,-46.3003,29.82,43,62,2.84,BR,1680103762
233,harnai,30.1005,67.9374,17.59,60,94,0.75,PK,1680103762
234,smithers,54.7804,-127.1743,-3.82,74,40,1.54,CA,1680103762
235,arlit,18.7369,7.3853,34.91,4,11,3.33,NE,1680103763
236,polson,47.6936,-114.1632,0.68,81,82,1.51,US,1680103763
237,oeiras do para,-2.0031,-49.8544,25.68,84,99,1.46,BR,1680103767
238,auki,-8.7676,160.7034,25.32,88,100,1.4,SB,1680103769
239,lakes entrance,-37.8811,147.981,13.42,74,91,8.47,AU,1680103769
240,itarema,-2.9248,-39.9167,28.82,70,45,4.59,BR,1680103770
241,noshiro,40.2039,140.0242,4.35,74,7,1.53,JP,1680103770
